City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,42.39,51,1,8.99,clear sky
1,Kayasula,RU,44.325,45.0,38.62,77,96,14.23,overcast clouds
2,North Bend,US,43.4065,-124.2243,49.86,98,99,16.24,overcast clouds
3,Mount Gambier,AU,-37.8333,140.7667,69.71,64,31,13.8,scattered clouds
4,Arlit,NE,18.7369,7.3853,69.58,8,87,7.18,overcast clouds
5,Avarua,CK,-21.2078,-159.775,73.45,94,75,11.5,heavy intensity rain
6,Dikson,RU,73.5069,80.5464,-16.83,95,96,15.1,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,46.06,49,75,26.46,broken clouds
8,Ayabaca,PE,-4.6398,-79.7149,51.04,89,99,4.83,light rain
9,Kimbe,PG,-5.5502,150.1429,78.22,92,100,1.3,overcast clouds
10,Asau,RO,46.4333,26.4,38.75,85,100,3.36,overcast clouds
11,Ribeira Grande,PT,38.5167,-28.7,58.69,53,100,18.77,overcast clouds
12,Alamosa,US,37.4695,-105.87,44.58,18,1,6.91,clear sky
13,Hermanus,ZA,-34.4187,19.2345,64.9,88,62,7.61,broken clouds
14,Klaksvik,FO,62.2266,-6.589,41.92,73,100,17.56,overcast clouds
15,Valparaiso,CL,-33.0393,-71.6273,69.44,52,0,16.11,clear sky
16,Mataura,NZ,-46.1927,168.8643,63.48,42,59,3.27,broken clouds
17,Oranjestad,AW,12.524,-70.027,82.35,83,40,3.0,scattered clouds
18,Gamba,GA,-2.65,10.0,75.47,93,99,2.66,overcast clouds
19,Hobart,AU,-42.8794,147.3294,63.27,62,20,4.0,few clouds
20,Quatre Cocos,MU,-20.2078,57.7625,75.31,72,89,12.17,overcast clouds
21,Tecolutla,MX,20.4833,-97.0167,70.29,58,40,7.45,scattered clouds
22,Vaini,TO,-21.2,-175.2,82.56,83,40,13.8,light rain
23,Tonj,SS,7.2737,28.6822,79.18,29,61,3.42,broken clouds
24,Bluff,NZ,-46.6,168.3333,63.81,71,22,7.27,few clouds
25,Saint-Philippe,RE,-21.3585,55.7679,76.59,74,80,11.32,broken clouds
26,Punta Arenas,CL,-53.15,-70.9167,50.11,34,0,23.02,clear sky
27,Severo-Kurilsk,RU,50.6789,156.125,33.19,87,80,12.46,broken clouds
28,Mehamn,NO,71.0357,27.8492,31.95,86,75,16.11,light snow
29,Yellowknife,CA,62.456,-114.3525,9.12,85,90,8.05,light snow
30,Kaitangata,NZ,-46.2817,169.8464,59.94,65,62,5.19,broken clouds
31,Georgetown,MY,5.4112,100.3354,79.9,82,20,0.0,few clouds
32,Rikitea,PF,-23.1203,-134.9692,77.65,76,87,8.63,light rain
33,Kalmar,SE,56.6616,16.3616,32.97,98,90,2.3,overcast clouds
34,Ilulissat,GL,69.2167,-51.1,19.42,68,90,9.22,overcast clouds
35,Guerrero Negro,MX,27.9769,-114.0611,66.34,48,41,10.04,scattered clouds
36,Kyrnasivka,UA,48.5955,28.979,36.09,88,100,7.23,overcast clouds
37,Longyearbyen,SJ,78.2186,15.6401,31.84,74,75,18.41,broken clouds
38,Berezovyy,RU,51.6667,135.7,12.13,96,100,3.13,overcast clouds
39,Noumea,NC,-22.2763,166.4572,84.18,80,100,2.48,light rain
40,Broken Hill,AU,-31.95,141.4333,83.91,15,5,12.66,clear sky
41,Yerofey Pavlovich,RU,53.9667,121.9667,-2.31,98,100,0.2,overcast clouds
42,Arraial Do Cabo,BR,-22.9661,-42.0278,76.69,89,86,22.39,light rain
43,Albany,US,42.6001,-73.9662,40.8,44,0,9.08,clear sky
44,Bengkulu,ID,-3.8004,102.2655,74.77,88,100,3.8,overcast clouds
45,Beshpagir,RU,45.0217,42.3808,31.42,85,98,19.73,overcast clouds
46,Lebu,CL,-37.6167,-73.65,56.37,67,4,8.95,clear sky
47,Cape Town,ZA,-33.9258,18.4232,66.61,79,20,1.99,few clouds
48,Eirunepe,BR,-6.6603,-69.8736,76.8,92,81,3.0,broken clouds
49,New Norfolk,AU,-42.7826,147.0587,63.91,52,11,3.0,few clouds
50,Port Lincoln,AU,-34.7333,135.8667,62.47,64,88,14.36,overcast clouds
51,Pangnirtung,CA,66.1451,-65.7125,-4.63,70,56,7.54,broken clouds
52,Mar Del Plata,AR,-38.0023,-57.5575,73.42,84,75,1.99,broken clouds
53,Cherskiy,RU,68.75,161.3,-43.15,100,50,1.59,scattered clouds
54,Barrow,US,71.2906,-156.7887,-12.98,77,1,13.8,clear sky
55,Mahebourg,MU,-20.4081,57.7,75.49,88,75,17.27,light intensity shower rain
56,Airai,TL,-8.9266,125.4092,66.88,78,100,1.05,overcast clouds
57,Aklavik,CA,68.2191,-135.0107,-3.17,90,100,21.81,overcast clouds
58,Batagay-Alyta,RU,67.8006,130.4114,-33.18,99,94,4.18,overcast clouds
59,Coquimbo,CL,-29.9533,-71.3436,67.73,59,0,12.66,clear sky
60,Coahuayana,MX,18.7333,-103.6833,90.88,67,29,6.02,scattered clouds
